Unique.ID,country,latitude,longitude,Basin.ID,start.year,end.year,num.year,dur.year,eqr.start,eqr.end,eqr.change,richness,rich.rarefied,rich.coverage,ab,fd,trait.ses,taxa.comp,trait.comp,id.level,richness_circularity,ab_circularity,taxa_circularity,trait_circularity
ENG_062_MZB_LO_694,England,50.97387294,-3.495490244,1173451,2002,2023,17,22,1.088100506,1.055060045,-0.033040462,-1.80243,-0.717778,-1.831942,-5.171019,-3.385826,0.029714149,0.031894,0.001473,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_698,England,50.93470727,-4.104948696,1174095,2003,2017,7,15,0.977145545,1.013477335,0.03633179,-1.105839,-0.346133,0.218721,-4.999508,-2.113711,0.025851716,0.078257,0.014677,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_7,England,54.00224484,-1.929302767,1174178,2002,2014,11,13,1.005216306,1.000162666,-0.00505364,1.45214,0.25621,-0.389847,7.123162,2.783726,-0.005036653,0.002583,0.00639,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_701,England,50.78026683,-4.145384428,1174095,2013,2023,8,11,1.039999995,0.955627703,-0.084372293,2.122801,2.525913,2.313576,-1.445112,4.007672,0.063033145,0.015003,0.002796,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_704,England,50.88277388,-4.066921804,1174095,2003,2019,8,17,1.005563613,1.081963998,0.076400385,-0.673155,1.279038,0.549025,-11.446048,-1.428299,-0.045940038,0.030383,0.00642,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_706,England,50.99627517,-4.511928134,1136364,2005,2024,7,20,0.961556865,0.979995186,0.018438321,-0.285535,-0.459019,0.719101,0.701489,-1.393025,-0.104110431,0.0391,0.01045,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_711,England,51.01514654,-4.021476692,1173750,2004,2022,7,19,1.055337031,0.931800191,-0.12353684,1.066225,1.131949,1.034292,-1.444489,1.436405,0.016921304,0.062357,0.008836,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_713,England,51.11410535,-4.16053022,1164646,2002,2021,8,20,0.981211891,0.974958657,-0.006253235,-1.08578,0.164429,0.345363,-8.260365,-2.052444,-0.034934019,0.052577,0.0143,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_714,England,50.80637836,-4.119186499,1174095,2007,2023,7,17,0.915407259,0.696243236,-0.219164023,-1.519017,-1.530564,-3.61889,-1.225152,-2.741819,0.067145779,0.069218,0.009865,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_715,England,51.10335191,-4.007038631,1173750,2004,2023,17,20,1.078043295,1.058713879,-0.019329416,-0.562486,0.93181,1.80414,-4.849254,-1.131799,-0.036728032,0.008866,0.000244,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_718,England,50.78720087,-4.085402202,1174095,2004,2022,8,19,0.95411076,0.999155286,0.045044526,-0.580579,-0.470325,-1.702954,-2.140992,-1.423455,-0.073039233,0.026149,0.003851,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_719,England,50.79761247,-3.999300273,1174095,2009,2023,15,15,1.029930098,1.001178736,-0.028751361,0.258035,1.752392,1.937014,-8.668249,0.019391,-0.003941457,0.050516,0.004381,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_72,England,54.20218742,-0.860001329,1174178,2003,2016,7,14,1.028948911,1.082864063,0.053915152,0.861361,1.816595,1.065816,-7.472314,1.535122,0.035223437,0.044812,0.00565,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_721,England,50.79492758,-4.145346515,1174095,2007,2024,11,18,0.896430019,0.724242603,-0.172187416,-4.985846,-1.643201,-1.373258,-11.936012,-2.505326,0.008857913,0.068004,0.014483,Family,FALSE,FALSE,FALSE,FALSE
